127.0.0.1 - - [13/Dec/2018:14:02:09 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:12 +0530] "GET /Attacker/index.jsp HTTP/1.1" 200 12872
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/css/aos.css HTTP/1.1" 200 25983
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/css/info.css HTTP/1.1" 200 4335
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/css/banner.css HTTP/1.1" 200 8465
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/css/jquery.mb.thumbgallery.min.css HTTP/1.1" 200 5343
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/css/style.css HTTP/1.1" 200 79264
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/js/jquery.min.js HTTP/1.1" 200 95992
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/js/SmoothScroll.min.js HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/js/top.js HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/js/modernizr.min.js HTTP/1.1" 200 11084
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/js/index.js HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/js/jarallax.js HTTP/1.1" 200 14718
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/js/aos.js HTTP/1.1" 200 12368
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/js/aos2.js HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/js/jquery.mb.thumbGallery.js HTTP/1.1" 200 53519
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/js/responsiveslides.min.js HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/js/jquery.ba-cond.min.js HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:13 +0530] "GET /Attacker/js/jquery.slitslider.js HTTP/1.1" 200 16273
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:14 +0530] "GET /Attacker/images/1.jpeg HTTP/1.1" 200 41804
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:14 +0530] "GET /Attacker/images/2.jpeg HTTP/1.1" 200 41127
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:14 +0530] "GET /Attacker/images/c.png HTTP/1.1" 200 193227
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:14 +0530] "GET /Attacker/images/4s.jpeg HTTP/1.1" 200 68788
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:14 +0530] "GET /Attacker/images/5s.jpg HTTP/1.1" 200 73996
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:14 +0530] "GET /Attacker/images/info-img1.jpg HTTP/1.1" 200 9989
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:14 +0530] "GET /Attacker/images/info-img1-1.jpg HTTP/1.1" 200 9989
